Tempo_s,Corrente_A,Tensao_V,Temperatura_C
0.0,0.77,4.107165518871119,35.00000000000006
1.0,0.77,4.146729836587354,35.00116110480447
2.0,0.77,4.146521483072913,35.00225752043981
3.0,0.77,4.146203545802871,35.00334664334484
4.0,0.77,4.145862922441443,35.00443351883571
5.0,0.77,4.145518749375324,35.00551997651039
6.0,0.77,4.145177171774292,35.00660684013009
7.0,0.77,4.144840616899625,35.00769452723873
8.0,0.77,4.144510272629639,35.00878327737955
9.0,0.77,4.144185695095668,35.009873033928315
10.0,0.77,4.143868192706625,35.01096402581966
11.0,0.77,4.143556508025361,35.01205601745309
12.0,0.77,4.143251851782299,35.01314918024926
13.0,0.77,4.142952793093959,35.01424323702684
14.0,0.77,4.142660535438289,35.01533832217465
15.0,0.77,4.142374909895863,35.01643433182338
16.0,0.77,4.142093763607552,35.017530917866935
17.0,0.77,4.141817829086829,35.01862814543527
18.0,0.77,4.141549182762652,35.019726151934556
19.0,0.77,4.141285266329853,35.02082458414543
20.0,0.77,4.141026001240146,35.0219233945397
21.0,0.77,4.1407715796081535,35.023022549559016
22.0,0.77,4.140523574578175,35.02412203831835
23.0,0.77,4.140279841829327,35.02522167019609
24.0,0.77,4.140040314779791,35.0263214024142
25.0,0.77,4.139805306623985,35.02742118875782
26.0,0.77,4.139575984549304,35.02852092572534
27.0,0.77,4.139350554799738,35.02962055533871
28.0,0.77,4.139129674408806,35.03071998910221
29.0,0.77,4.138915117414619,35.03181905795968
30.0,0.77,4.138700560420433,35.03291812681716
31.0,0.77,4.1384915074326925,35.0340166971089
32.0,0.77,4.138286531278954,35.03511489811152
33.0,0.77,4.138085411524311,35.03621259830136
34.0,0.77,4.137888276868625,35.037309780964755
35.0,0.77,4.1376941475789035,35.03840645849818
36.0,0.77,4.137504359088141,35.039502406447355
37.0,0.77,4.137316787406599,35.04059788644918
38.0,0.77,4.137133790196383,35.0416924008236
39.0,0.77,4.136952302918399,35.0427865212555
40.0,0.77,4.13677550073304,35.04387941934302
41.0,0.77,4.136599612975122,35.04497203016369
42.0,0.77,4.136428488835314,35.046063144496514
43.0,0.77,4.136257774535593,35.04715410705491
44.0,0.77,4.136091880664146,35.04824328448351
45.0,0.77,4.135925986792699,35.04933246191211
46.0,0.77,4.135764838900319,35.050419571321264
47.0,0.77,4.135603711635871,35.05150667174198
48.0,0.77,4.1354465564462295,35.052591758792005
49.0,0.77,4.135289779825546,35.053676653952486
50.0,0.77,4.135136332097659,35.05475962077448
51.0,0.77,4.1349835647485556,35.05584219347127
52.0,0.77,4.134833529947873,35.0569229499059
53.0,0.77,4.134684417635385,35.058003093183835
54.0,0.77,4.134537509919485,35.05908155699113
55.0,0.77,4.134391713164265,35.06015917446407
56.0,0.77,4.134247684662936,35.06123526916806
57.0,0.77,4.134104924902584,35.062310271269126
58.0,0.77,4.133963538308659,35.06338392606075
59.0,0.77,4.133823527348778,35.06445623112177
60.0,0.77,4.133684552490699,35.06552738100067
61.0,0.77,4.133547026996415,35.0665969149388
62.0,0.77,4.133410249914214,35.06766550041239
